Date,temperature
2018/2/13,11.02661597
2018/2/15,11.15969582
2018/2/17,11.42585551
2018/2/19,9.296577947
2018/2/21,10.76045627
2018/2/23,13.42205323
2018/2/25,14.61977186
2018/2/27,14.75285171
2018/3/1,11.82509506
2018/3/3,9.562737643
2018/3/5,13.95437262
2018/3/7,13.15589354
2018/3/9,6.501901141
2018/3/11,7.699619772
2018/3/13,6.235741445
2018/3/15,10.36121673
2018/3/17,6.634980989
2018/3/19,7.83269962
2018/3/21,12.4904943
2018/3/23,10.09505703
2018/3/25,12.35741445
2018/3/27,11.9581749
2018/3/29,11.55893536
2018/3/31,6.901140684
2018/4/2,7.16730038
2018/4/4,12.4904943
2018/4/6,12.35741445
2018/4/8,9.296577947
2018/4/10,6.102661597
2018/4/12,5.570342205
2018/4/14,5.038022814
2018/4/16,6.102661597
2018/4/18,5.703422053
2018/4/20,4.904942966
2018/4/22,4.106463878
2018/4/24,3.174904943
2018/4/26,0.912547529
2018/4/28,6.368821293
2018/4/30,2.908745247
2018/5/2,4.106463878
2018/5/4,5.437262357
2018/5/6,10.09505703
2018/5/8,3.574144487
2018/5/10,7.965779468
2018/5/12,3.840304183
2018/5/14,6.235741445
2018/5/16,8.098859316
2018/5/18,8.631178707
2018/5/20,5.969581749
2018/5/22,6.634980989
2018/5/24,9.296577947
2018/5/26,9.562737643
2018/5/28,12.75665399
2018/5/30,7.16730038
2018/6/1,9.429657795
2018/6/3,12.09125475
2018/6/5,13.95437262
2018/6/7,15.15209125
2018/6/9,15.95057034
2018/6/11,15.01901141
2018/6/13,12.75665399
2018/6/15,17.94676806
2018/6/17,16.34980989
2018/6/19,14.48669202
2018/6/21,15.15209125
2018/6/23,17.14828897
2018/6/25,18.878327
2018/6/27,13.82129278
2018/6/29,19.01140684
2018/7/1,18.878327
2018/7/3,18.878327
2018/7/5,20.34220532
2018/7/7,15.01901141
2018/7/9,17.68060837
2018/7/11,19.01140684
2018/7/13,21.40684411
2018/7/15,23.26996198
2018/7/17,20.47528517
2018/7/19,18.07984791
2018/7/21,16.48288973
2018/7/23,22.07224335
2018/7/25,19.01140684
2018/7/27,17.28136882
2018/7/29,16.08365019
